HomeTeam,AwayTeam,FTHG,FTAG
Juventus,Napoli,1.433333333,1.275
Lazio,Roma,1.691666666,1.183333333
AC Milan,Inter Milan,1.658333333,1.458333334
Roma,Atalanta,0.833333333,1.35
Inter Milan,Lazio,1.675,0.966666666
Inter Milan,Juventus,1.675,1.125
Lazio,Atalanta,1.691666666,1.35
Roma,AC Milan,0.833333333,1.475
Napoli,Atalanta,2.016666667,1.35
Roma,Napoli,0.833333333,1.275
AC Milan,Lazio,1.658333333,0.966666666
Juventus,AC Milan,1.433333333,1.475
Atalanta,Juventus,1.366666667,1.125
AC Milan,Napoli,1.658333333,1.275
Inter Milan,Roma,1.675,1.183333333
Lazio,Juventus,1.691666666,1.125
Atalanta,AC Milan,1.366666667,1.475
Napoli,Inter Milan,2.016666667,1.458333334
Lazio,Napoli,1.691666666,1.275
Inter Milan,Atalanta,1.675,1.35
Roma,Juventus,0.833333333,1.125
Roma,Lazio,0.833333333,0.966666666
Napoli,Juventus,2.016666667,1.125
Inter Milan,AC Milan,1.675,1.475
Atalanta,Roma,1.366666667,1.183333333
Lazio,Inter Milan,1.691666666,1.458333334
Juventus,Inter Milan,1.433333333,1.458333334
Atalanta,Lazio,1.366666667,0.966666666
AC Milan,Roma,1.658333333,1.183333333
Atalanta,Napoli,1.366666667,1.275
Lazio,AC Milan,1.691666666,1.475
Napoli,Roma,2.016666667,1.183333333
AC Milan,Juventus,1.658333333,1.125
Juventus,Atalanta,1.433333333,1.35
Napoli,AC Milan,2.016666667,1.475
Roma,Inter Milan,0.833333333,1.458333334
Juventus,Lazio,1.433333333,0.966666666
AC Milan,Atalanta,1.658333333,1.35
Inter Milan,Napoli,1.675,1.275
Atalanta,Inter Milan,1.366666667,1.458333334
Napoli,Lazio,2.016666667,0.966666666
Juventus,Roma,1.433333333,1.183333333
