HomeTeam,AwayTeam,FTHG,FTAG
AC Milan,Udinese,1.946153846,1.385714286
Lazio,Bologna,2.026923077,0.692857143
Juventus,Sassuolo,2.096153846,1.057142857
Inter Milan,Frosinone,2.492307692,0.60952381
Napoli,Monza,2.134615385,0.752380953
Roma,Genoa,1.953846154,0.542857143
AC Milan,Bologna,1.946153846,0.692857143
Inter Milan,Genoa,2.492307692,0.542857143
Roma,Monza,1.953846154,0.752380953
Juventus,Frosinone,2.096153846,0.60952381
Napoli,Lecce,2.134615385,0.823809524
Atalanta,Torino,2.384615385,0.628571429
Napoli,Frosinone,2.134615385,0.60952381
Inter Milan,Torino,2.492307692,0.628571429
Atalanta,Genoa,2.384615385,0.542857143
Lazio,Verona,2.026923077,0.778571429
Juventus,Salernitana,2.096153846,1.10952381
Napoli,Torino,2.134615385,0.628571429
Lazio,Frosinone,2.026923077,0.60952381
Atalanta,Fiorentina,2.384615385,0.742857143
Juventus,Bologna,2.096153846,0.692857143
Roma,Lecce,1.953846154,0.823809524
Atalanta,Sassuolo,2.384615385,1.057142857
Inter Milan,Salernitana,2.492307692,1.10952381
Lazio,Udinese,2.026923077,1.385714286
Napoli,Bologna,2.134615385,0.692857143
Juventus,Empoli,2.096153846,0.788095238
AC Milan,Monza,1.946153846,0.752380953
Napoli,Sassuolo,2.134615385,1.057142857
Inter Milan,Cagliari,2.492307692,0.657142857
Lazio,Salernitana,2.026923077,1.10952381
AC Milan,Frosinone,1.946153846,0.60952381
Napoli,Empoli,2.134615385,0.788095238
Inter Milan,Bologna,2.492307692,0.692857143
Lazio,Monza,2.026923077,0.752380953
Napoli,Udinese,2.134615385,1.385714286
Roma,Torino,1.953846154,0.628571429
AC Milan,Fiorentina,1.946153846,0.742857143
Roma,Bologna,1.953846154,0.692857143
Juventus,Udinese,2.096153846,1.385714286
Lazio,Empoli,2.026923077,0.788095238
Inter Milan,Verona,2.492307692,0.778571429
Atalanta,Salernitana,2.384615385,1.10952381
Roma,Fiorentina,1.953846154,0.742857143
Inter Milan,Empoli,2.492307692,0.788095238
Atalanta,Cagliari,2.384615385,0.657142857
AC Milan,Sassuolo,1.946153846,1.057142857
Juventus,Monza,2.096153846,0.752380953
Lazio,Fiorentina,2.026923077,0.742857143
Roma,Empoli,1.953846154,0.788095238
AC Milan,Torino,1.946153846,0.628571429
Juventus,Fiorentina,2.096153846,0.742857143
Napoli,Genoa,2.134615385,0.542857143
Inter Milan,Udinese,2.492307692,1.385714286
Atalanta,Lecce,2.384615385,0.823809524
Roma,Verona,1.953846154,0.778571429
Lazio,Cagliari,2.026923077,0.657142857
Juventus,Torino,2.096153846,0.628571429
Atalanta,Udinese,2.384615385,1.385714286
Inter Milan,Lecce,2.492307692,0.823809524
Roma,Sassuolo,1.953846154,1.057142857
Juventus,Cagliari,2.096153846,0.657142857
AC Milan,Salernitana,1.946153846,1.10952381
Atalanta,Empoli,2.384615385,0.788095238
Inter Milan,Fiorentina,2.492307692,0.742857143
Juventus,Verona,2.096153846,0.778571429
Roma,Cagliari,1.953846154,0.657142857
AC Milan,Empoli,1.946153846,0.788095238
Atalanta,Bologna,2.384615385,0.692857143
Napoli,Verona,2.134615385,0.778571429
Inter Milan,Monza,2.492307692,0.752380953
Roma,Udinese,1.953846154,1.385714286
Lazio,Torino,2.026923077,0.628571429
AC Milan,Lecce,1.946153846,0.823809524
Napoli,Salernitana,2.134615385,1.10952381
Atalanta,Frosinone,2.384615385,0.60952381
Juventus,Lecce,2.096153846,0.823809524
Lazio,Sassuolo,2.026923077,1.057142857
AC Milan,Genoa,1.946153846,0.542857143
Napoli,Fiorentina,2.134615385,0.742857143
Lazio,Lecce,2.026923077,0.823809524
Inter Milan,Sassuolo,2.492307692,1.057142857
Juventus,Genoa,2.096153846,0.542857143
Atalanta,Verona,2.384615385,0.778571429
AC Milan,Cagliari,1.946153846,0.657142857
Roma,Salernitana,1.953846154,1.10952381
Lazio,Genoa,2.026923077,0.542857143
Napoli,Cagliari,2.134615385,0.657142857
Atalanta,Monza,2.384615385,0.752380953
AC Milan,Verona,1.946153846,0.778571429
Roma,Frosinone,1.953846154,0.60952381
Cagliari,Atalanta,0.716666667,1.942307692
Lecce,Inter Milan,1.042857143,2.057692308
Salernitana,Roma,0.492857143,1.55
Verona,Napoli,1.092857143,2.192307693
Torino,Lazio,0.628571429,1.846153846
Cagliari,Juventus,0.716666667,1.446153846
Verona,Atalanta,1.092857143,1.942307692
Fiorentina,Napoli,1.321428572,2.192307693
Sassuolo,AC Milan,1.057142857,1.734615385
Cagliari,Lazio,0.716666667,1.846153846
Fiorentina,Juventus,1.321428572,1.446153846
Udinese,Roma,1.385714286,1.55
Monza,Atalanta,0.814285714,1.942307692
Cagliari,AC Milan,0.716666667,1.734615385
Empoli,Roma,1.028571428,1.55
Udinese,Inter Milan,1.385714286,2.057692308
Genoa,Lazio,0.766666667,1.846153846
Monza,Juventus,0.814285714,1.446153846
Empoli,AC Milan,1.028571428,1.734615385
Sassuolo,Inter Milan,1.057142857,2.057692308
Udinese,Atalanta,1.385714286,1.942307692
Genoa,Napoli,0.766666667,2.192307693
Fiorentina,Lazio,1.321428572,1.846153846
Torino,Juventus,0.628571429,1.446153846
Verona,AC Milan,1.092857143,1.734615385
Cagliari,Roma,0.716666667,1.55
Fiorentina,Inter Milan,1.321428572,2.057692308
Lecce,Juventus,1.042857143,1.446153846
Empoli,Atalanta,1.028571428,1.942307692
Torino,AC Milan,0.628571429,1.734615385
Verona,Roma,1.092857143,1.55
Genoa,AC Milan,0.766666667,1.734615385
Lecce,Atalanta,1.042857143,1.942307692
Sassuolo,Roma,1.057142857,1.55
Verona,Juventus,1.092857143,1.446153846
Salernitana,AC Milan,0.492857143,1.734615385
Frosinone,Atalanta,0.695238095,1.942307692
Lecce,Lazio,1.042857143,1.846153846
Genoa,Juventus,0.766666667,1.446153846
Monza,Inter Milan,0.814285714,2.057692308
Cagliari,Napoli,0.716666667,2.192307693
Bologna,Atalanta,0.992857143,1.942307692
Lecce,AC Milan,1.042857143,1.734615385
Sassuolo,Lazio,1.057142857,1.846153846
Salernitana,Napoli,0.492857143,2.192307693
Frosinone,Roma,0.695238095,1.55
Genoa,Inter Milan,0.766666667,2.057692308
Sassuolo,Atalanta,1.057142857,1.942307692
Frosinone,Napoli,0.695238095,2.192307693
Verona,Lazio,1.092857143,1.846153846
Salernitana,Juventus,0.492857143,1.446153846
Lecce,Roma,1.042857143,1.55
Cagliari,Inter Milan,0.716666667,2.057692308
Sassuolo,Napoli,1.057142857,2.192307693
Monza,AC Milan,0.814285714,1.734615385
Salernitana,Lazio,0.492857143,1.846153846
Frosinone,Juventus,0.695238095,1.446153846
Empoli,Napoli,1.028571428,2.192307693
Bologna,Inter Milan,0.992857143,2.057692308
Genoa,Roma,0.766666667,1.55
Fiorentina,AC Milan,1.321428572,1.734615385
Frosinone,Inter Milan,0.695238095,2.057692308
Bologna,Lazio,0.992857143,1.846153846
Udinese,AC Milan,1.385714286,1.734615385
Torino,Napoli,0.628571429,2.192307693
Genoa,Atalanta,0.766666667,1.942307692
Monza,Lazio,0.814285714,1.846153846
Salernitana,Inter Milan,0.492857143,2.057692308
Lecce,Napoli,1.042857143,2.192307693
Torino,Roma,0.628571429,1.55
Frosinone,Lazio,0.695238095,1.846153846
Bologna,AC Milan,0.992857143,1.734615385
Sassuolo,Juventus,1.057142857,1.446153846
Fiorentina,Atalanta,1.321428572,1.942307692
Empoli,Inter Milan,1.028571428,2.057692308
Torino,Atalanta,0.628571429,1.942307692
Bologna,Juventus,0.992857143,1.446153846
Monza,Roma,0.814285714,1.55
Verona,Inter Milan,1.092857143,2.057692308
Udinese,Napoli,1.385714286,2.192307693
Salernitana,Atalanta,0.492857143,1.942307692
Frosinone,AC Milan,0.695238095,1.734615385
Monza,Napoli,0.814285714,2.192307693
Bologna,Roma,0.992857143,1.55
Udinese,Lazio,1.385714286,1.846153846
Empoli,Juventus,1.028571428,1.446153846
Fiorentina,Roma,1.321428572,1.55
Bologna,Napoli,0.992857143,2.192307693
Torino,Inter Milan,0.628571429,2.057692308
Empoli,Lazio,1.028571428,1.846153846
Udinese,Juventus,1.385714286,1.446153846
