HomeTeam,AwayTeam,FTHG,FTAG
Monza,Torino,1.376388889,1.441666667
Fiorentina,Genoa,1.766666667,1.009722222
Frosinone,Empoli,1.030668168,1.029166667
Udinese,Salernitana,1.4125,0.841666666
Sassuolo,Lecce,1.7,0.861111111
Empoli,Fiorentina,1.327777778,1.479166667
Bologna,Verona,1.5625,1.174038462
Monza,Udinese,1.376388889,1.316666667
Genoa,Torino,1.033445946,1.441666667
Frosinone,Sassuolo,1.030668168,1.4375
Salernitana,Cagliari,1.744444444,0.976388889
Lecce,Empoli,1.015277778,1.029166667
Empoli,Verona,1.327777778,1.174038462
Udinese,Fiorentina,1.4125,1.479166667
Bologna,Salernitana,1.5625,0.841666666
Genoa,Sassuolo,1.033445946,1.4375
Frosinone,Bologna,1.030668168,1.65
Verona,Cagliari,1.433333333,0.976388889
Salernitana,Empoli,1.744444444,1.029166667
Torino,Lecce,1.366666667,0.861111111
Bologna,Fiorentina,1.5625,1.479166667
Lecce,Monza,1.015277778,1.202777778
Sassuolo,Udinese,1.7,1.316666667
Salernitana,Lecce,1.744444444,0.861111111
Bologna,Empoli,1.5625,1.029166667
Frosinone,Cagliari,1.030668168,0.976388889
Torino,Sassuolo,1.366666667,1.4375
Fiorentina,Verona,1.766666667,1.174038462
Lecce,Genoa,1.015277778,1.009722222
Cagliari,Monza,1.166779279,1.202777778
Sassuolo,Salernitana,1.7,0.841666666
Verona,Udinese,1.433333333,1.316666667
Bologna,Cagliari,1.5625,0.976388889
Torino,Empoli,1.366666667,1.029166667
Monza,Frosinone,1.376388889,0.966666666
Salernitana,Verona,1.744444444,1.174038462
Empoli,Monza,1.327777778,1.202777778
Frosinone,Genoa,1.030668168,1.009722222
Lecce,Fiorentina,1.015277778,1.479166667
Salernitana,Frosinone,1.744444444,0.966666666
Udinese,Torino,1.4125,1.441666667
Bologna,Lecce,1.5625,0.861111111
Genoa,Cagliari,1.033445946,0.976388889
Sassuolo,Verona,1.7,1.174038462
Genoa,Udinese,1.033445946,1.316666667
Frosinone,Fiorentina,1.030668168,1.479166667
Monza,Bologna,1.376388889,1.65
Udinese,Lecce,1.4125,0.861111111
Empoli,Sassuolo,1.327777778,1.4375
Salernitana,Genoa,1.744444444,1.009722222
Bologna,Torino,1.5625,1.441666667
Monza,Verona,1.376388889,1.174038462
Cagliari,Fiorentina,1.166779279,1.479166667
Frosinone,Udinese,1.030668168,1.316666667
Fiorentina,Salernitana,1.766666667,0.841666666
Torino,Cagliari,1.366666667,0.976388889
Empoli,Genoa,1.327777778,1.009722222
Cagliari,Lecce,1.166779279,0.861111111
Bologna,Sassuolo,1.5625,1.4375
Monza,Salernitana,1.376388889,0.841666666
Verona,Frosinone,1.433333333,0.966666666
Sassuolo,Cagliari,1.7,0.976388889
Torino,Verona,1.366666667,1.174038462
Fiorentina,Monza,1.766666667,1.202777778
Udinese,Empoli,1.4125,1.029166667
Fiorentina,Sassuolo,1.766666667,1.4375
Salernitana,Torino,1.744444444,1.441666667
Frosinone,Lecce,1.030668168,0.861111111
Verona,Genoa,1.433333333,1.009722222
Genoa,Monza,1.033445946,1.202777778
Torino,Frosinone,1.366666667,0.966666666
Udinese,Bologna,1.4125,1.65
Empoli,Cagliari,1.327777778,0.976388889
Verona,Lecce,1.433333333,0.861111111
Fiorentina,Torino,1.766666667,1.441666667
Cagliari,Udinese,1.166779279,1.316666667
Monza,Sassuolo,1.376388889,1.4375
Bologna,Genoa,1.5625,1.009722222
Bologna,Frosinone,1.5625,0.966666666
Lecce,Salernitana,1.015277778,0.841666666
Empoli,Torino,1.327777778,1.441666667
Udinese,Verona,1.4125,1.174038462
Genoa,Lecce,1.033445946,0.861111111
Torino,Udinese,1.366666667,1.316666667
Fiorentina,Bologna,1.766666667,1.65
Monza,Cagliari,1.376388889,0.976388889
Empoli,Frosinone,1.327777778,0.966666666
Udinese,Sassuolo,1.4125,1.4375
Bologna,Monza,1.5625,1.202777778
Verona,Salernitana,1.433333333,0.841666666
Cagliari,Bologna,1.166779279,1.65
Fiorentina,Empoli,1.766666667,1.029166667
Torino,Genoa,1.366666667,1.009722222
Lecce,Sassuolo,1.015277778,1.4375
Salernitana,Monza,1.744444444,1.202777778
Udinese,Frosinone,1.4125,0.966666666
Verona,Fiorentina,1.433333333,1.479166667
Monza,Empoli,1.376388889,1.029166667
Frosinone,Verona,1.030668168,1.174038462
Cagliari,Salernitana,1.166779279,0.841666666
Sassuolo,Genoa,1.7,1.009722222
Torino,Bologna,1.366666667,1.65
Empoli,Udinese,1.327777778,1.316666667
Lecce,Torino,1.015277778,1.441666667
Genoa,Fiorentina,1.033445946,1.479166667
Verona,Monza,1.433333333,1.202777778
Sassuolo,Frosinone,1.7,0.966666666
Monza,Genoa,1.376388889,1.009722222
Salernitana,Bologna,1.744444444,1.65
Cagliari,Verona,1.166779279,1.174038462
Fiorentina,Lecce,1.766666667,0.861111111
Bologna,Udinese,1.5625,1.316666667
Frosinone,Salernitana,1.030668168,0.841666666
Empoli,Lecce,1.327777778,0.861111111
Sassuolo,Torino,1.7,1.441666667
Udinese,Monza,1.4125,1.202777778
Fiorentina,Frosinone,1.766666667,0.966666666
Cagliari,Genoa,1.166779279,1.009722222
Verona,Sassuolo,1.433333333,1.4375
Genoa,Empoli,1.033445946,1.029166667
Lecce,Cagliari,1.015277778,0.976388889
Torino,Salernitana,1.366666667,0.841666666
Verona,Bologna,1.433333333,1.65
Salernitana,Sassuolo,1.744444444,1.4375
Cagliari,Frosinone,1.166779279,0.966666666
Monza,Fiorentina,1.376388889,1.479166667
Udinese,Genoa,1.4125,1.009722222
Lecce,Udinese,1.015277778,1.316666667
Frosinone,Monza,1.030668168,1.202777778
